order_id,customer_id,restaurant_id,order_date,day_of_week,order_hour,order_value,cuisine,restaurant_rating,delivery_time_min,customer_rating,discount_used,occasion,repeat_order
O000041,C0003,R0097,2026-03-25,Wednesday,12,461,Chinese,4.9,24,4,0,Routine,1
O000042,C0003,R0127,2025-12-12,Friday,21,321,Pizza,4.4,34,3,0,Movie Night,0
O000043,C0003,R0041,2026-01-23,Friday,17,935,Biryani,4.5,30,4,1,Routine,1
O000044,C0003,R0002,2026-06-29,Monday,13,365,Maharashtrian,4.4,29,4,0,Routine,0
O000045,C0004,R0011,2025-12-16,Tuesday,22,474,Chinese,4.0,36,4,1,Work Lunch,0
O000046,C0004,R0100,2026-04-18,Saturday,17,291,Chinese,4.4,29,3,0,Family,0
O000047,C0004,R0076,2026-01-19,Monday,14,478,Healthy,3.8,19,5,0,Friends,0
O000048,C0004,R0034,2026-07-09,Thursday,17,501,Burgers,4.8,40,3,1,Work Lunch,0
O000049,C0004,R0113,2026-06-19,Friday,14,609,Healthy,4.2,42,3,1,Work Lunch,0
O000050,C0004,R0142,2026-07-22,Wednesday,9,902,South Indian,4.4,36,4,1,Work Lunch,0
O000051,C0004,R0003,2025-09-19,Friday,19,233,Chinese,4.0,24,4,0,Routine,0
O000052,C0005,R0097,2026-03-30,Monday,13,220,Chinese,4.9,24,3,0,Family,0
O000053,C0005,R0064,2026-07-29,Wednesday,19,677,North Indian,3.9,53,3,0,Work Lunch,1
O000054,C0005,R0102,2025-09-17,Wednesday,9,1087,Cafe,3.7,34,3,1,Routine,0
O000055,C0005,R0078,2026-02-14,Saturday,17,375,Biryani,3.7,15,4,1,Date Night,0
O000056,C0005,R0064,2026-03-04,Wednesday,12,1440,North Indian,3.9,53,4,0,Routine,1
O000057,C0005,R0127,2026-08-04,Tuesday,14,244,Pizza,4.4,34,3,1,Work Lunch,1
O000058,C0005,R0041,2026-02-09,Monday,9,799,Biryani,4.5,30,4,0,Routine,0
O000059,C0005,R0015,2026-08-20,Thursday,8,417,Healthy,4.3,15,5,0,Friends,0
O000060,C0005,R0095,2025-12-20,Saturday,18,367,North Indian,3.8,25,5,0,Family,0
O000061,C0005,R0127,2026-02-13,Friday,12,299,Pizza,4.4,34,4,0,Family,1
O000062,C0005,R0064,2026-03-18,Wednesday,13,963,North Indian,3.9,53,5,0,Family,1
O000063,C0005,R0014,2026-05-29,Friday,12,641,Maharashtrian,4.1,35,4,0,Routine,0
O000064,C0005,R0054,2026-01-22,Thursday,22,475,Chinese,3.6,34,4,0,Family,0
O000065,C0005,R0084,2026-08-11,Tuesday,9,709,Desserts,4.1,32,5,0,Family,0
O000066,C0005,R0026,2026-07-29,Wednesday,17,545,Healthy,4.0,38,3,0,Friends,0
O000067,C0006,R0025,2026-04-12,Sunday,14,715,Cafe,4.1,35,5,1,Date Night,1
O000068,C0006,R0141,2025-12-12,Friday,12,883,Burgers,4.2,26,3,1,Routine,0
O000069,C0006,R0147,2026-05-12,Tuesday,18,409,Biryani,3.9,17,4,0,Routine,1
O000070,C0006,R0025,2026-01-20,Tuesday,17,614,Cafe,4.1,35,4,1,Routine,1
O000071,C0006,R0131,2026-04-21,Tuesday,10,582,South Indian,4.4,28,5,1,Family,0
O000072,C0006,R0020,2026-07-01,Wednesday,17,836,Biryani,4.2,28,5,0,Routine,0
O000073,C0006,R0079,2025-09-12,Friday,13,551,Chinese,4.1,36,5,1,Routine,0
O000074,C0006,R0090,2026-06-23,Tuesday,8,875,Maharashtrian,4.5,33,4,1,Movie Night,0
O000075,C0006,R0092,2026-01-25,Sunday,10,758,South Indian,4.5,15,5,0,Movie Night,0
O000076,C0006,R0147,2026-03-27,Friday,8,307,Biryani,3.9,17,4,1,Movie Night,1
O000077,C0006,R0126,2026-05-30,Saturday,8,689,Italian,4.1,21,5,1,Routine,0
O000078,C0006,R0080,2025-09-10,Wednesday,9,619,South Indian,4.7,27,3,1,Work Lunch,0
O000079,C0006,R0138,2026-04-02,Thursday,22,781,North Indian,4.6,22,4,1,Routine,0
O000080,C0007,R0077,2026-02-11,Wednesday,23,818,Maharashtrian,4.0,41,3,1,Routine,1
O000081,C0007,R0061,2025-10-12,Sunday,19,668,Burgers,4.5,34,5,0,Date Night,0
O000082,C0007,R0124,2026-05-12,Tuesday,20,483,Healthy,4.4,15,5,1,Routine,0
O000083,C0007,R0030,2026-02-01,Sunday,22,230,Thai,4.0,38,4,1,Late Night,0
O000084,C0007,R0077,2026-05-12,Tuesday,21,564,Maharashtrian,4.0,41,4,1,Late Night,1
O000085,C0007,R0007,2025-11-03,Monday,14,941,Chinese,4.2,23,2,1,Late Night,0
O000086,C0008,R0066,2025-10-24,Friday,8,967,Pizza,4.3,30,4,1,Routine,1
O000087,C0008,R0058,2025-09-07,Sunday,10,600,North Indian,4.7,24,4,0,Routine,0
O000088,C0008,R0005,2026-02-14,Saturday,22,500,Pizza,4.0,36,3,1,Friends,0
O000089,C0008,R0048,2025-12-26,Friday,10,223,Cafe,4.6,29,5,1,Routine,0
O000090,C0008,R0027,2026-03-09,Monday,19,458,Maharashtrian,4.5,48,3,0,Late Night,1
O000091,C0008,R0019,2026-08-20,Thursday,8,424,Biryani,4.1,34,4,1,Routine,1
O000092,C0008,R0122,2025-09-24,Wednesday,9,257,North Indian,4.0,35,4,1,Routine,1
O000093,C0008,R0081,2026-02-04,Wednesday,9,211,Pizza,4.1,42,5,1,Routine,0
O000094,C0008,R0103,2026-08-20,Thursday,20,248,Italian,4.9,32,5,1,Date Night,1
O000095,C0008,R0044,2026-03-15,Sunday,13,436,Thai,4.2,17,3,1,Friends,0
O000096,C0008,R0056,2025-11-11,Tuesday,20,369,Biryani,3.8,49,3,1,Work Lunch,0
O000097,C0008,R0036,2025-11-05,Wednesday,14,630,Biryani,3.9,40,4,1,Movie Night,0
O000098,C0008,R0019,2026-06-28,Sunday,17,551,Biryani,4.1,34,5,1,Friends,1
O000099,C0008,R0027,2026-08-10,Monday,9,426,Maharashtrian,4.5,48,4,1,Family,1
O000100,C0008,R0108,2026-01-03,Saturday,20,290,North Indian,4.5,36,3,1,Work Lunch,0
O000101,C0008,R0103,2026-05-10,Sunday,13,335,Italian,4.9,32,5,1,Routine,1
O000102,C0008,R0072,2026-05-07,Thursday,12,240,Cafe,4.4,19,4,1,Routine,0
O000103,C0008,R0066,2026-01-31,Saturday,22,1326,Pizza,4.3,30,3,1,Routine,1
O000104,C0008,R0122,2026-06-14,Sunday,12,201,North Indian,4.0,35,4,1,Friends,1
O000105,C0009,R0019,2025-12-16,Tuesday,22,416,Biryani,4.1,34,5,0,Routine,0
O000106,C0009,R0074,2026-05-13,Wednesday,8,306,Cafe,4.6,27,4,1,Routine,0
O000107,C0009,R0066,2026-08-11,Tuesday,12,1058,Pizza,4.3,30,4,1,Work Lunch,1
O000108,C0009,R0056,2026-03-18,Wednesday,12,493,Biryani,3.8,49,3,1,Work Lunch,0
O000109,C0009,R0066,2026-02-23,Monday,12,853,Pizza,4.3,30,3,1,Date Night,1
O000110,C0009,R0122,2026-05-30,Saturday,19,216,North Indian,4.0,35,5,1,Movie Night,0
O000111,C0010,R0023,2026-02-08,Sunday,22,785,Cafe,4.1,21,5,0,Work Lunch,0
O000112,C0010,R0076,2025-11-19,Wednesday,19,552,Healthy,3.8,19,5,0,Routine,0
O000113,C0010,R0034,2025-11-07,Friday,12,447,Burgers,4.8,40,4,1,Movie Night,0
O000114,C0010,R0055,2026-03-18,Wednesday,18,1061,Biryani,3.6,31,4,1,Movie Night,0
O000115,C0010,R0065,2026-05-22,Friday,12,732,Healthy,4.8,37,4,0,Date Night,0
O000116,C0010,R0135,2025-12-07,Sunday,9,890,Desserts,4.2,31,4,1,Routine,0
O000117,C0010,R0001,2025-11-25,Tuesday,21,286,South Indian,3.9,38,5,0,Routine,0
O000118,C0010,R0113,2026-06-24,Wednesday,21,416,Healthy,4.2,42,4,0,Routine,1
O000119,C0010,R0113,2026-04-26,Sunday,9,605,Healthy,4.2,42,4,0,Date Night,1
O000120,C0011,R0102,2026-01-03,Saturday,8,766,Cafe,3.7,34,5,0,Movie Night,0
O000121,C0011,R0127,2025-12-06,Saturday,13,255,Pizza,4.4,34,3,1,Routine,0
O000122,C0011,R0054,2026-08-06,Thursday,19,452,Chinese,3.6,34,4,0,Work Lunch,1
O000123,C0011,R0015,2026-01-15,Thursday,9,353,Healthy,4.3,15,4,0,Late Night,0
O000124,C0011,R0098,2025-10-15,Wednesday,14,742,Burgers,4.1,33,4,0,Work Lunch,0
O000125,C0011,R0106,2025-11-18,Tuesday,17,269,Healthy,4.3,46,4,0,Family,1
O000126,C0011,R0095,2026-05-20,Wednesday,14,565,North Indian,3.8,25,4,0,Routine,0
O000127,C0011,R0026,2026-01-19,Monday,14,770,Healthy,4.0,38,4,0,Routine,1
O000128,C0011,R0084,2026-07-31,Friday,17,608,Desserts,4.1,32,3,0,Friends,0
O000129,C0011,R0039,2026-04-06,Monday,12,635,Biryani,3.7,28,4,0,Routine,0
O000130,C0011,R0062,2026-03-27,Friday,10,339,Maharashtrian,3.7,23,5,0,Family,0
O000131,C0011,R0097,2026-05-31,Sunday,20,401,Chinese,4.9,24,4,1,Work Lunch,0
O000132,C0011,R0106,2026-04-11,Saturday,9,356,Healthy,4.3,46,5,0,Friends,1
O000133,C0011,R0026,2026-07-29,Wednesday,12,605,Healthy,4.0,38,4,1,Late Night,1
O000134,C0011,R0054,2025-12-23,Tuesday,9,557,Chinese,3.6,34,4,0,Routine,1
O000135,C0011,R0026,2025-09-20,Saturday,20,515,Healthy,4.0,38,5,1,Routine,1
O000136,C0011,R0026,2025-10-05,Sunday,19,568,Healthy,4.0,38,5,0,Routine,1
O000137,C0011,R0106,2025-12-26,Friday,20,305,Healthy,4.3,46,5,0,Friends,1
O000138,C0012,R0135,2026-03-28,Saturday,17,767,Desserts,4.2,31,3,1,Work Lunch,0
O000139,C0012,R0116,2025-12-23,Tuesday,22,377,Maharashtrian,4.2,35,4,1,Movie Night,1
O000140,C0012,R0011,2026-08-22,Saturday,13,264,Chinese,4.0,36,3,1,Work Lunch,1
O000141,C0012,R0137,2025-11-28,Friday,23,414,Chinese,4.3,35,4,1,Routine,0
O000142,C0012,R0101,2026-07-25,Saturday,13,278,Chinese,4.2,27,4,0,Friends,0
O000143,C0012,R0113,2026-01-27,Tuesday,22,532,Healthy,4.2,42,4,1,Routine,1
O000144,C0012,R0059,2025-12-05,Friday,19,468,Cafe,4.4,33,5,1,Movie Night,0
O000145,C0012,R0142,2026-07-17,Friday,18,710,South Indian,4.4,36,5,1,Friends,0
O000146,C0012,R0116,2026-08-20,Thursday,12,287,Maharashtrian,4.2,35,5,1,Routine,1
O000147,C0012,R0011,2026-08-16,Sunday,9,404,Chinese,4.0,36,3,1,Routine,1
O000148,C0012,R0063,2026-02-19,Thursday,18,348,Pizza,4.2,32,3,0,Routine,0
O000149,C0012,R0145,2025-09-08,Monday,21,914,South Indian,4.5,28,4,1,Work Lunch,0
O000150,C0012,R0003,2026-02-20,Friday,8,187,Chinese,4.0,24,4,1,Routine,0
O000151,C0012,R0149,2026-01-15,Thursday,9,305,North Indian,4.7,34,5,1,Routine,0
O000152,C0012,R0113,2025-09-06,Saturday,20,565,Healthy,4.2,42,4,0,Work Lunch,1
O000153,C0012,R0100,2026-05-02,Saturday,20,205,Chinese,4.4,29,4,1,Routine,0
O000154,C0012,R0053,2026-01-06,Tuesday,18,272,Cafe,4.4,26,3,1,Routine,0
O000155,C0013,R0021,2025-09-10,Wednesday,20,873,Thai,4.1,34,4,1,Friends,0
O000156,C0013,R0025,2026-01-28,Wednesday,12,840,Cafe,4.1,35,4,1,Family,0
O000157,C0013,R0020,2025-11-26,Wednesday,23,836,Biryani,4.2,28,3,0,Routine,0
O000158,C0013,R0049,2025-10-20,Monday,9,289,Desserts,4.6,22,5,1,Routine,1
O000159,C0013,R0138,2026-02-20,Friday,18,744,North Indian,4.6,22,4,0,Work Lunch,0
O000160,C0013,R0049,2026-02-28,Saturday,19,413,Desserts,4.6,22,4,1,Routine,1
O000161,C0014,R0043,2026-05-09,Saturday,13,284,Pizza,4.3,15,3,1,Work Lunch,1
O000162,C0014,R0021,2025-09-08,Monday,14,605,Thai,4.1,34,4,1,Routine,1
O000163,C0014,R0043,2026-02-19,Thursday,19,361,Pizza,4.3,15,5,1,Date Night,1
O000164,C0014,R0092,2026-07-04,Saturday,18,963,South Indian,4.5,15,4,1,Routine,0
O000165,C0014,R0049,2026-08-19,Wednesday,19,350,Desserts,4.6,22,4,1,Friends,1
O000166,C0014,R0080,2025-09-12,Friday,10,487,South Indian,4.7,27,3,1,Late Night,0
O000167,C0014,R0079,2025-12-23,Tuesday,21,338,Chinese,4.1,36,3,1,Late Night,1
O000168,C0014,R0141,2026-03-03,Tuesday,18,707,Burgers,4.2,26,3,1,Routine,0
O000169,C0014,R0143,2026-06-24,Wednesday,22,302,Desserts,4.0,25,2,1,Friends,0
O000170,C0014,R0090,2026-04-10,Friday,14,914,Maharashtrian,4.5,33,5,1,Routine,0
O000171,C0014,R0079,2025-10-17,Friday,12,381,Chinese,4.1,36,4,1,Late Night,1
O000172,C0014,R0021,2026-03-14,Saturday,21,591,Thai,4.1,34,4,1,Routine,1
O000173,C0014,R0147,2026-01-20,Tuesday,21,372,Biryani,3.9,17,4,1,Friends,0
O000174,C0014,R0021,2026-04-20,Monday,19,715,Thai,4.1,34,4,1,Routine,1
O000175,C0014,R0049,2026-08-15,Saturday,14,325,Desserts,4.6,22,4,0,Movie Night,1
O000176,C0015,R0057,2026-03-21,Saturday,20,224,Maharashtrian,4.6,32,5,1,Work Lunch,1
O000177,C0015,R0101,2026-01-21,Wednesday,13,428,Chinese,4.2,27,4,1,Routine,1
O000178,C0015,R0029,2026-06-25,Thursday,19,950,Chinese,4.3,43,4,1,Friends,0
O000179,C0015,R0013,2026-07-12,Sunday,9,1176,South Indian,4.1,44,3,1,Work Lunch,0
O000180,C0015,R0148,2026-04-22,Wednesday,20,329,Burgers,3.8,32,5,0,Late Night,0
O000181,C0015,R0146,2026-02-26,Thursday,13,292,Chinese,3.2,28,3,0,Routine,0
O000182,C0015,R0145,2025-09-06,Saturday,18,753,South Indian,4.5,28,5,1,Late Night,0
O000183,C0015,R0101,2025-11-16,Sunday,18,327,Chinese,4.2,27,4,1,Friends,1
O000184,C0015,R0135,2026-05-27,Wednesday,13,579,Desserts,4.2,31,3,1,Friends,0
O000185,C0015,R0009,2026-08-08,Saturday,10,367,Biryani,4.4,30,3,1,Routine,0
O000186,C0015,R0057,2026-01-27,Tuesday,9,243,Maharashtrian,4.6,32,4,1,Date Night,1
O000187,C0015,R0055,2025-09-09,Tuesday,18,1058,Biryani,3.6,31,5,0,Routine,0
O000188,C0016,R0148,2026-01-24,Saturday,20,468,Burgers,3.8,32,4,1,Routine,0
O000189,C0016,R0055,2026-05-10,Sunday,13,957,Biryani,3.6,31,3,1,Routine,0
O000190,C0016,R0059,2026-03-01,Sunday,21,685,Cafe,4.4,33,4,1,Movie Night,0
O000191,C0016,R0135,2025-09-27,Saturday,13,685,Desserts,4.2,31,4,1,Routine,0
O000192,C0016,R0057,2026-01-25,Sunday,23,181,Maharashtrian,4.6,32,4,0,Movie Night,0
O000193,C0017,R0106,2026-08-08,Saturday,23,239,Healthy,4.3,46,5,0,Family,1
O000194,C0017,R0041,2025-10-16,Thursday,22,745,Biryani,4.5,30,4,1,Routine,1
O000195,C0017,R0045,2025-12-11,Thursday,17,979,Maharashtrian,4.7,38,5,1,Family,1
O000196,C0017,R0109,2025-10-13,Monday,13,984,Desserts,4.3,29,5,1,Routine,1
O000197,C0017,R0041,2026-05-02,Saturday,14,1011,Biryani,4.5,30,5,0,Routine,1
O000198,C0017,R0102,2026-08-15,Saturday,21,750,Cafe,3.7,34,3,1,Work Lunch,0
O000199,C0017,R0121,2026-03-25,Wednesday,9,397,Italian,4.8,41,3,0,Movie Night,0
O000200,C0017,R0084,2026-02-03,Tuesday,20,512,Desserts,4.1,32,4,0,Routine,0
O000201,C0017,R0097,2026-06-17,Wednesday,17,446,Chinese,4.9,24,5,0,Friends,0
O000202,C0017,R0106,2026-02-14,Saturday,23,303,Healthy,4.3,46,4,1,Family,1
O000203,C0017,R0109,2026-08-17,Monday,23,897,Desserts,4.3,29,4,0,Routine,1
O000204,C0017,R0045,2025-11-10,Monday,17,937,Maharashtrian,4.7,38,3,0,Family,1
O000205,C0017,R0002,2026-02-03,Tuesday,13,176,Maharashtrian,4.4,29,5,1,Routine,0
O000206,C0017,R0045,2026-06-19,Friday,21,926,Maharashtrian,4.7,38,5,0,Work Lunch,1
O000207,C0017,R0095,2025-12-04,Thursday,17,560,North Indian,3.8,25,4,0,Date Night,0
O000208,C0017,R0054,2026-04-13,Monday,9,522,Chinese,3.6,34,3,1,Routine,0
O000209,C0017,R0098,2026-04-16,Thursday,22,687,Burgers,4.1,33,5,0,Routine,0
O000210,C0017,R0041,2026-08-18,Tuesday,22,895,Biryani,4.5,30,4,1,Work Lunch,1
O000211,C0018,R0112,2026-03-02,Monday,17,266,Thai,4.2,34,4,0,Work Lunch,0
O000212,C0018,R0081,2026-03-31,Tuesday,18,355,Pizza,4.1,42,4,0,Routine,0
O000213,C0018,R0056,2026-06-15,Monday,8,606,Biryani,3.8,49,3,0,Late Night,0
O000214,C0018,R0122,2026-04-05,Sunday,9,287,North Indian,4.0,35,5,0,Date Night,1
O000215,C0018,R0103,2026-07-13,Monday,13,313,Italian,4.9,32,2,1,Date Night,1
O000216,C0018,R0122,2026-06-26,Friday,19,272,North Indian,4.0,35,5,1,Work Lunch,1
O000217,C0018,R0066,2026-07-16,Thursday,19,1346,Pizza,4.3,30,3,0,Movie Night,1
O000218,C0018,R0036,2026-01-30,Friday,8,864,Biryani,3.9,40,3,0,Date Night,0
O000219,C0018,R0008,2026-03-22,Sunday,10,408,Biryani,3.9,25,4,0,Work Lunch,0
O000220,C0018,R0103,2025-09-05,Friday,18,298,Italian,4.9,32,4,0,Date Night,1
O000221,C0018,R0022,2026-05-25,Monday,18,842,Biryani,3.7,38,4,0,Movie Night,0
O000222,C0018,R0040,2025-10-15,Wednesday,8,644,South Indian,4.6,27,4,0,Routine,0
O000223,C0018,R0066,2026-07-31,Friday,9,513,Pizza,4.3,30,4,1,Routine,1
O000224,C0018,R0072,2025-10-21,Tuesday,13,261,Cafe,4.4,19,4,0,Family,1
O000225,C0018,R0072,2026-08-21,Friday,14,247,Cafe,4.4,19,4,1,Movie Night,1
O000226,C0018,R0027,2025-11-03,Monday,22,424,Maharashtrian,4.5,48,4,0,Family,0
O000227,C0018,R0048,2026-05-21,Thursday,22,227,Cafe,4.6,29,4,0,Friends,0
O000228,C0019,R0070,2026-08-27,Thursday,12,323,Cafe,3.6,24,4,1,Family,1
O000229,C0019,R0067,2026-06-16,Tuesday,22,437,Cafe,3.9,32,4,1,Late Night,1
O000230,C0019,R0030,2025-11-10,Monday,12,289,Thai,4.0,38,4,1,Movie Night,1
O000231,C0019,R0070,2026-07-26,Sunday,10,177,Cafe,3.6,24,4,1,Routine,1
O000232,C0019,R0030,2026-02-08,Sunday,22,259,Thai,4.0,38,5,1,Late Night,1
O000233,C0019,R0123,2025-09-05,Friday,23,785,South Indian,3.8,37,4,1,Work Lunch,0
O000234,C0019,R0136,2026-08-20,Thursday,12,469,Chinese,3.6,45,4,0,Routine,0
O000235,C0019,R0139,2025-09-02,Tuesday,10,327,North Indian,4.4,29,4,1,Family,0
O000236,C0019,R0129,2025-11-02,Sunday,19,273,Cafe,4.6,46,5,0,Routine,0
O000237,C0019,R0104,2025-12-15,Monday,9,738,Cafe,4.3,38,4,1,Work Lunch,0
O000238,C0019,R0110,2026-05-18,Monday,18,279,Italian,4.7,33,3,1,Work Lunch,0
O000239,C0019,R0067,2025-11-03,Monday,13,414,Cafe,3.9,32,4,1,Work Lunch,1
O000240,C0019,R0105,2025-12-05,Friday,12,292,North Indian,3.8,47,4,0,Movie Night,0
O000241,C0019,R0077,2026-06-08,Monday,13,579,Maharashtrian,4.0,41,4,1,Movie Night,0
O000242,C0020,R0046,2026-08-16,Sunday,18,462,South Indian,4.4,45,4,1,Movie Night,0
O000243,C0020,R0125,2026-07-14,Tuesday,9,290,Pizza,3.8,29,4,0,Work Lunch,1
O000244,C0020,R0093,2026-07-24,Friday,8,201,Pizza,4.7,28,5,0,Routine,1
O000245,C0020,R0104,2026-08-04,Tuesday,12,543,Cafe,4.3,38,3,0,Routine,0
O000246,C0020,R0006,2026-08-26,Wednesday,19,609,Chinese,3.5,26,4,0,Routine,0
O000247,C0020,R0007,2026-05-05,Tuesday,13,777,Chinese,4.2,23,4,1,Routine,0
O000248,C0020,R0093,2025-10-23,Thursday,20,311,Pizza,4.7,28,5,0,Work Lunch,1
O000249,C0020,R0125,2026-08-09,Sunday,13,365,Pizza,3.8,29,4,1,Work Lunch,1
O000250,C0021,R0114,2026-08-25,Tuesday,23,326,Chinese,3.6,33,5,0,Routine,0
O000251,C0021,R0037,2026-04-03,Friday,17,304,Maharashtrian,4.6,45,5,0,Routine,1
O000252,C0021,R0060,2026-01-25,Sunday,18,332,Italian,4.3,43,4,0,Routine,1
O000253,C0021,R0094,2026-03-20,Friday,8,346,Italian,4.4,42,4,0,Family,0
O000254,C0021,R0068,2025-09-19,Friday,21,575,Thai,4.3,20,5,0,Friends,1
O000255,C0021,R0089,2026-08-04,Tuesday,20,481,Chinese,3.9,30,4,0,Work Lunch,1
O000256,C0021,R0083,2026-03-02,Monday,10,374,Healthy,4.3,36,4,0,Work Lunch,1
O000257,C0021,R0089,2026-04-24,Friday,13,408,Chinese,3.9,30,4,0,Routine,1
O000258,C0021,R0037,2025-11-22,Saturday,14,302,Maharashtrian,4.6,45,4,0,Family,1
O000259,C0021,R0012,2026-05-17,Sunday,12,412,Pizza,3.3,27,4,1,Routine,1
O000260,C0021,R0060,2026-08-29,Saturday,19,364,Italian,4.3,43,5,1,Work Lunch,1
O000261,C0021,R0083,2025-10-04,Saturday,10,652,Healthy,4.3,36,5,0,Friends,1
O000262,C0021,R0035,2026-03-01,Sunday,21,483,Desserts,4.6,27,4,0,Friends,0
O000263,C0021,R0060,2026-02-22,Sunday,18,331,Italian,4.3,43,4,0,Friends,1
O000264,C0021,R0068,2025-11-12,Wednesday,13,535,Thai,4.3,20,5,1,Date Night,1
O000265,C0021,R0012,2026-08-05,Wednesday,13,319,Pizza,3.3,27,3,0,Late Night,1
O000266,C0021,R0089,2025-10-06,Monday,21,342,Chinese,3.9,30,4,0,Work Lunch,1
O000267,C0022,R0139,2026-05-01,Friday,20,277,North Indian,4.4,29,5,0,Friends,0
O000268,C0022,R0007,2026-06-23,Tuesday,22,958,Chinese,4.2,23,3,0,Late Night,1
O000269,C0022,R0024,2026-08-05,Wednesday,19,651,Burgers,4.1,43,5,0,Routine,0
O000270,C0022,R0123,2026-08-25,Tuesday,14,835,South Indian,3.8,37,3,1,Family,0
O000271,C0022,R0061,2026-06-26,Friday,14,571,Burgers,4.5,34,3,0,Family,0
O000272,C0022,R0031,2026-03-27,Friday,9,459,Italian,4.2,31,4,1,Routine,0
O000273,C0022,R0007,2025-11-22,Saturday,12,770,Chinese,4.2,23,3,0,Routine,1
O000274,C0022,R0006,2025-10-26,Sunday,18,465,Chinese,3.5,26,3,1,Late Night,1
O000275,C0022,R0124,2026-05-03,Sunday,14,340,Healthy,4.4,15,4,0,Date Night,1
O000276,C0022,R0030,2026-01-01,Thursday,9,252,Thai,4.0,38,5,1,Movie Night,0
O000277,C0022,R0104,2025-11-30,Sunday,22,610,Cafe,4.3,38,3,0,Movie Night,0
