interaction_id,customer_id,restaurant_id,event_type,event_time,source_surface
I0000288,C0007,R0093,click,2026-06-07,ai_assistant
I0000289,C0007,R0110,order,2026-08-30,reorder
I0000290,C0007,R0133,impression,2026-04-29,reorder
I0000291,C0007,R0031,add_to_cart,2026-03-12,home
I0000292,C0007,R0032,save,2026-04-26,offers
I0000293,C0007,R0006,dismiss,2026-02-13,offers
I0000294,C0007,R0046,impression,2026-07-17,reorder
I0000295,C0007,R0124,view_menu,2026-03-18,offers
I0000296,C0007,R0031,impression,2026-05-26,home
I0000297,C0007,R0104,impression,2026-08-28,reorder
I0000298,C0007,R0107,impression,2026-06-16,ai_assistant
I0000299,C0007,R0119,dismiss,2026-05-13,reorder
I0000300,C0007,R0125,view_menu,2026-08-09,ai_assistant
I0000301,C0007,R0031,impression,2026-07-27,ai_assistant
I0000302,C0007,R0105,add_to_cart,2026-09-05,offers
I0000303,C0007,R0124,click,2026-03-22,offers
I0000304,C0007,R0139,add_to_cart,2026-08-25,offers
I0000305,C0007,R0123,click,2026-07-24,ai_assistant
I0000306,C0007,R0139,impression,2026-05-15,reorder
I0000307,C0007,R0139,impression,2026-03-20,home
I0000308,C0007,R0067,order,2026-06-27,search
I0000309,C0007,R0046,save,2026-06-16,home
I0000310,C0007,R0030,view_menu,2026-04-30,offers
I0000311,C0007,R0107,impression,2026-08-24,search
I0000312,C0007,R0124,view_menu,2026-06-14,home
I0000313,C0007,R0136,click,2026-02-25,offers
I0000314,C0007,R0133,impression,2026-02-18,search
I0000315,C0007,R0105,view_menu,2026-03-24,reorder
I0000316,C0007,R0024,impression,2026-02-18,offers
I0000317,C0007,R0107,click,2026-03-29,search
I0000318,C0007,R0104,impression,2026-07-16,home
I0000319,C0007,R0093,impression,2026-01-23,search
I0000320,C0007,R0129,order,2026-07-25,offers
I0000321,C0007,R0099,impression,2026-04-28,search
I0000322,C0007,R0123,view_menu,2026-07-01,reorder
I0000323,C0008,R0111,impression,2026-04-26,search
I0000324,C0008,R0048,click,2026-01-14,search
I0000325,C0008,R0074,save,2026-03-04,reorder
I0000326,C0008,R0022,click,2026-03-16,offers
I0000327,C0008,R0040,view_menu,2026-08-15,home
I0000328,C0008,R0081,impression,2026-04-02,reorder
I0000329,C0008,R0056,impression,2026-04-26,home
I0000330,C0008,R0056,save,2026-01-10,home
I0000331,C0008,R0036,impression,2026-03-06,home
I0000332,C0008,R0122,click,2026-03-21,reorder
I0000333,C0008,R0058,dismiss,2026-04-03,ai_assistant
I0000334,C0008,R0048,add_to_cart,2026-07-24,offers
I0000335,C0008,R0103,add_to_cart,2026-01-28,ai_assistant
I0000336,C0008,R0033,impression,2026-06-19,ai_assistant
I0000337,C0008,R0019,save,2026-02-07,offers
I0000338,C0008,R0112,add_to_cart,2026-07-21,home
I0000339,C0008,R0008,click,2026-01-08,offers
I0000340,C0008,R0044,click,2026-08-20,search
I0000341,C0008,R0108,order,2026-08-21,ai_assistant
I0000342,C0008,R0019,impression,2026-07-01,home
I0000343,C0008,R0108,impression,2026-03-14,offers
I0000344,C0008,R0027,view_menu,2026-03-05,home
I0000345,C0008,R0033,impression,2026-04-05,reorder
I0000346,C0008,R0058,dismiss,2026-05-29,reorder
I0000347,C0008,R0072,impression,2026-04-15,search
I0000348,C0008,R0005,impression,2026-01-02,offers
I0000349,C0008,R0040,click,2026-05-18,ai_assistant
I0000350,C0008,R0022,view_menu,2026-08-25,search
I0000351,C0008,R0008,view_menu,2026-05-05,offers
I0000352,C0008,R0144,save,2026-05-28,ai_assistant
I0000353,C0008,R0005,impression,2026-07-30,offers
I0000354,C0008,R0081,impression,2026-02-15,search
I0000355,C0008,R0022,click,2026-07-04,search
I0000356,C0008,R0103,save,2026-08-16,ai_assistant
I0000357,C0008,R0044,impression,2026-06-25,search
I0000358,C0008,R0122,impression,2026-04-24,reorder
I0000359,C0008,R0040,impression,2026-01-06,offers
I0000360,C0008,R0122,click,2026-06-05,home
I0000361,C0008,R0048,view_menu,2026-08-23,offers
I0000362,C0008,R0027,dismiss,2026-01-18,reorder
I0000363,C0008,R0111,impression,2026-01-10,home
I0000364,C0008,R0022,click,2026-02-23,reorder
I0000365,C0008,R0122,view_menu,2026-04-28,offers
I0000366,C0008,R0108,click,2026-02-11,home
I0000367,C0008,R0072,impression,2026-01-19,ai_assistant
I0000368,C0008,R0103,impression,2026-03-02,search
I0000369,C0008,R0040,add_to_cart,2026-08-07,home
I0000370,C0008,R0058,click,2026-05-28,offers
I0000371,C0008,R0048,view_menu,2026-02-07,home
I0000372,C0008,R0056,order,2026-02-27,home
I0000373,C0008,R0144,impression,2026-02-14,offers
I0000374,C0008,R0056,order,2026-08-18,ai_assistant
I0000375,C0008,R0033,dismiss,2026-05-11,search
I0000376,C0008,R0081,click,2026-07-11,reorder
I0000377,C0008,R0033,click,2026-01-14,reorder
I0000378,C0008,R0072,view_menu,2026-03-24,offers
I0000379,C0008,R0074,click,2026-08-16,offers
I0000380,C0008,R0074,impression,2026-05-21,search
I0000381,C0008,R0066,click,2026-02-08,search
I0000382,C0008,R0019,view_menu,2026-08-01,home
I0000383,C0008,R0019,save,2026-02-12,offers
I0000384,C0008,R0048,click,2026-08-19,reorder
I0000385,C0008,R0033,click,2026-04-18,reorder
I0000386,C0008,R0066,click,2026-02-05,reorder
I0000387,C0008,R0044,click,2026-08-05,ai_assistant
I0000388,C0008,R0056,order,2026-07-30,home
I0000389,C0008,R0111,click,2026-08-01,reorder
I0000390,C0008,R0022,impression,2026-06-10,reorder
I0000391,C0008,R0033,order,2026-03-29,search
I0000392,C0008,R0048,click,2026-04-26,ai_assistant
I0000393,C0008,R0036,view_menu,2026-05-01,offers
I0000394,C0009,R0027,click,2026-01-04,offers
I0000395,C0009,R0122,order,2026-06-28,ai_assistant
I0000396,C0009,R0144,click,2026-05-03,offers
I0000397,C0009,R0008,add_to_cart,2026-01-14,offers
I0000398,C0009,R0072,impression,2026-06-07,ai_assistant
I0000399,C0009,R0019,view_menu,2026-09-02,search
I0000400,C0009,R0072,impression,2026-04-13,ai_assistant
I0000401,C0009,R0081,add_to_cart,2026-02-04,ai_assistant
I0000402,C0009,R0111,save,2026-08-17,offers
I0000403,C0009,R0112,view_menu,2026-07-01,offers
I0000404,C0009,R0103,impression,2026-01-07,home
I0000405,C0009,R0036,impression,2026-05-07,home
I0000406,C0009,R0108,click,2026-04-19,home
I0000407,C0009,R0111,impression,2026-07-03,offers
I0000408,C0009,R0144,click,2026-07-23,search
I0000409,C0009,R0122,view_menu,2026-09-04,offers
I0000410,C0009,R0056,impression,2026-05-01,ai_assistant
I0000411,C0009,R0048,impression,2026-01-17,search
I0000412,C0009,R0044,click,2026-02-18,home
I0000413,C0009,R0019,impression,2026-07-15,reorder
I0000414,C0009,R0074,click,2026-04-03,search
I0000415,C0009,R0144,view_menu,2026-03-11,home
I0000416,C0009,R0019,impression,2026-01-05,home
I0000417,C0009,R0040,view_menu,2026-09-08,ai_assistant
I0000418,C0009,R0019,view_menu,2026-05-23,home
I0000419,C0009,R0058,click,2026-08-27,home
I0000420,C0009,R0044,impression,2026-05-12,offers
I0000421,C0009,R0072,dismiss,2026-01-27,reorder
I0000422,C0009,R0056,impression,2026-04-30,home
I0000423,C0009,R0008,dismiss,2026-05-01,reorder
I0000424,C0009,R0144,impression,2026-02-27,offers
I0000425,C0009,R0005,click,2026-07-07,offers
I0000426,C0009,R0072,impression,2026-06-29,search
I0000427,C0009,R0019,dismiss,2026-04-16,home
I0000428,C0009,R0048,impression,2026-09-07,home
I0000429,C0009,R0066,impression,2026-08-01,ai_assistant
I0000430,C0009,R0048,impression,2026-06-23,offers
I0000431,C0009,R0122,order,2026-05-08,ai_assistant
I0000432,C0009,R0056,impression,2026-07-05,search
I0000433,C0009,R0112,impression,2026-02-08,reorder
I0000434,C0009,R0022,impression,2026-05-02,search
I0000435,C0009,R0103,add_to_cart,2026-06-10,search
I0000436,C0009,R0048,view_menu,2026-02-14,home
I0000437,C0009,R0111,impression,2026-06-22,search
I0000438,C0009,R0048,dismiss,2026-05-01,reorder
I0000439,C0009,R0103,view_menu,2026-06-04,offers
I0000440,C0009,R0008,view_menu,2026-06-22,reorder
I0000441,C0009,R0144,impression,2026-06-03,offers
I0000442,C0009,R0048,click,2026-07-11,offers
I0000443,C0009,R0008,impression,2026-08-01,search
I0000444,C0009,R0044,impression,2026-06-19,ai_assistant
I0000445,C0009,R0144,add_to_cart,2026-06-21,search
I0000446,C0009,R0048,impression,2026-04-14,reorder
I0000447,C0009,R0036,impression,2026-07-04,search
I0000448,C0009,R0108,impression,2026-08-29,reorder
I0000449,C0010,R0029,dismiss,2026-02-18,search
I0000450,C0010,R0076,dismiss,2026-06-06,search
I0000451,C0010,R0150,click,2026-04-19,offers
I0000452,C0010,R0135,click,2026-07-20,ai_assistant
I0000453,C0010,R0073,impression,2026-01-30,offers
I0000454,C0010,R0137,dismiss,2026-08-03,ai_assistant
I0000455,C0010,R0029,impression,2026-07-16,home
I0000456,C0010,R0055,add_to_cart,2026-03-19,ai_assistant
I0000457,C0010,R0116,impression,2026-04-03,ai_assistant
I0000458,C0010,R0009,view_menu,2026-04-11,ai_assistant
I0000459,C0010,R0073,impression,2026-03-11,ai_assistant
I0000460,C0010,R0023,impression,2026-01-15,search
I0000461,C0010,R0001,add_to_cart,2026-05-09,offers
I0000462,C0010,R0034,impression,2026-01-12,reorder
I0000463,C0010,R0057,impression,2026-03-26,home
I0000464,C0010,R0075,view_menu,2026-05-23,offers
I0000465,C0010,R0149,impression,2026-04-06,search
I0000466,C0010,R0009,impression,2026-04-23,ai_assistant
I0000467,C0010,R0150,impression,2026-01-30,home
I0000468,C0010,R0053,save,2026-08-22,ai_assistant
I0000469,C0010,R0053,order,2026-08-09,home
I0000470,C0010,R0063,impression,2026-06-23,offers
I0000471,C0010,R0065,click,2026-05-22,reorder
I0000472,C0010,R0069,impression,2026-02-12,home
I0000473,C0010,R0101,impression,2026-05-28,offers
I0000474,C0011,R0064,view_menu,2026-01-14,offers
I0000475,C0011,R0117,view_menu,2026-06-16,reorder
I0000476,C0011,R0102,dismiss,2026-05-17,home
I0000477,C0011,R0096,add_to_cart,2026-08-15,search
I0000478,C0011,R0028,view_menu,2026-04-18,reorder
I0000479,C0011,R0014,impression,2026-09-05,offers
I0000480,C0011,R0041,dismiss,2026-01-03,reorder
I0000481,C0011,R0026,impression,2026-05-20,search
I0000482,C0011,R0014,click,2026-08-11,offers
I0000483,C0011,R0130,add_to_cart,2026-08-10,home
I0000484,C0011,R0028,view_menu,2026-09-05,home
I0000485,C0011,R0109,add_to_cart,2026-03-14,offers
I0000486,C0011,R0002,impression,2026-07-06,ai_assistant
I0000487,C0011,R0054,click,2026-04-09,home
I0000488,C0011,R0098,impression,2026-03-05,offers
I0000489,C0011,R0014,click,2026-05-21,reorder
I0000490,C0011,R0084,click,2026-07-23,search
I0000491,C0011,R0015,impression,2026-01-21,offers
I0000492,C0011,R0085,click,2026-05-18,home
I0000493,C0011,R0014,impression,2026-07-24,search
I0000494,C0011,R0015,order,2026-02-16,offers
I0000495,C0011,R0028,order,2026-08-03,offers
I0000496,C0011,R0028,dismiss,2026-05-13,ai_assistant
I0000497,C0011,R0127,click,2026-05-19,ai_assistant
I0000498,C0011,R0121,dismiss,2026-03-26,reorder
I0000499,C0011,R0002,impression,2026-03-08,offers
I0000500,C0011,R0015,impression,2026-01-18,search
I0000501,C0012,R0065,impression,2026-06-06,search
I0000502,C0012,R0055,dismiss,2026-06-27,search
I0000503,C0012,R0148,save,2026-08-23,home
I0000504,C0012,R0069,impression,2026-06-04,offers
I0000505,C0012,R0003,view_menu,2026-03-27,home
I0000506,C0012,R0087,click,2026-03-06,offers
I0000507,C0012,R0059,impression,2026-06-04,home
I0000508,C0012,R0150,impression,2026-03-13,ai_assistant
I0000509,C0012,R0146,add_to_cart,2026-05-03,ai_assistant
I0000510,C0012,R0023,click,2026-07-21,reorder
I0000511,C0012,R0001,impression,2026-08-16,home
I0000512,C0012,R0148,click,2026-07-25,offers
I0000513,C0012,R0003,view_menu,2026-06-29,search
I0000514,C0012,R0137,dismiss,2026-09-05,offers
I0000515,C0012,R0146,view_menu,2026-03-27,ai_assistant
I0000516,C0012,R0101,click,2026-08-10,reorder
