customer_id,city,age,customer_segment,derived_top_cuisine,top_3_cuisines,derived_avg_order_value,orders_observed,avg_customer_rating,observed_discount_rate,weekend_order_share,late_night_share,repeat_order_share,unique_restaurants_tried,dietary_preference,healthy_affinity,spicy_affinity,exploration_affinity,loyalty_affinity
C0016,Mumbai,55,Food Explorer,Burgers,"Burgers, Biryani, Cafe",595.0,5,3.8,0.8,1.0,0.2,0.0,5,No Preference,0.26,0.61,0.87,0.21
C0017,Bengaluru,43,Convenience Seeker,Maharashtrian,"Maharashtrian, Desserts, Biryani",665.0,18,4.22,0.44,0.22,0.33,0.56,12,Vegetarian,0.27,0.71,0.52,0.85
C0018,Pune,26,Health Conscious,Biryani,"Biryani, Pizza, Cafe",481.0,17,3.82,0.24,0.12,0.12,0.47,13,Vegetarian,0.85,0.85,0.31,0.85
C0019,Delhi,46,Food Explorer,Cafe,"Cafe, Thai, North Indian",403.0,14,4.07,0.79,0.21,0.21,0.43,11,Vegetarian,0.19,0.57,0.21,0.24
C0020,Delhi,39,Food Explorer,Pizza,"Pizza, Chinese, South Indian",445.0,8,4.12,0.38,0.25,0.0,0.5,6,Vegetarian,0.64,0.32,0.1,0.73
C0021,Kolkata,45,Health Conscious,Chinese,"Chinese, Italian, Maharashtrian",405.0,17,4.29,0.18,0.41,0.06,0.82,9,Vegetarian,0.78,0.83,0.35,0.82
C0022,Delhi,33,Food Explorer,Chinese,"Chinese, Healthy, North Indian",478.0,19,3.74,0.26,0.37,0.11,0.53,13,Low-Calorie,0.45,0.25,0.74,0.28
C0023,Hyderabad,33,Health Conscious,Maharashtrian,"Maharashtrian, Burgers, Italian",528.0,9,3.89,0.22,0.22,0.11,0.44,7,No Preference,0.78,0.29,0.47,0.38
C0024,Delhi,43,Health Conscious,Chinese,"Chinese, Healthy, Burgers",497.0,20,3.8,0.95,0.2,0.1,0.65,12,No Preference,0.92,0.25,0.85,0.24
C0025,Bengaluru,20,Food Explorer,Biryani,"Biryani, Burgers, Chinese",566.0,10,4.1,1.0,0.3,0.0,0.2,9,No Preference,0.54,0.79,0.14,0.48
C0026,Delhi,41,Food Explorer,Pizza,"Pizza, Chinese, Desserts",495.0,11,3.55,0.55,0.27,0.18,0.55,8,Vegetarian,0.35,0.21,0.43,0.45
C0027,Pune,29,Food Explorer,North Indian,"North Indian, Biryani, Pizza",516.0,10,4.4,0.5,0.1,0.2,0.4,8,Jain,0.48,0.28,0.62,0.5
C0028,Delhi,23,Food Explorer,Italian,"Italian, Chinese, South Indian",421.0,20,4.05,0.3,0.1,0.05,0.65,12,No Preference,0.5,0.82,0.12,0.33
C0029,Hyderabad,54,Food Explorer,Desserts,"Desserts, Italian, South Indian",589.0,12,4.17,0.25,0.17,0.33,0.5,9,No Preference,0.46,0.25,0.72,0.23
C0030,Chennai,47,Food Explorer,Chinese,"Chinese, Biryani, Thai",408.0,18,4.0,1.0,0.33,0.11,0.89,7,No Preference,0.62,0.71,0.86,0.82
C0031,Kolkata,46,Food Explorer,Italian,"Italian, Pizza, Chinese",253.0,6,3.83,0.33,0.17,0.17,0.67,4,No Preference,0.47,0.71,0.49,0.33
C0032,Pune,38,Food Explorer,Pizza,"Pizza, Cafe, North Indian",465.0,13,4.62,0.15,0.23,0.0,0.62,9,No Preference,0.28,0.46,0.53,0.46
C0033,Ahmedabad,19,Budget Explorer,Pizza,"Pizza, Burgers, South Indian",476.0,14,4.07,0.93,0.21,0.21,0.43,11,No Preference,0.61,0.29,0.7,0.56
C0034,Hyderabad,49,Convenience Seeker,Desserts,"Desserts, South Indian, Biryani",620.0,17,4.18,0.82,0.24,0.18,0.76,8,Vegan,0.6,0.66,0.53,0.83
C0035,Hyderabad,26,Budget Explorer,Pizza,"Pizza, Burgers, Cafe",509.0,7,4.43,0.71,0.57,0.0,0.43,5,No Preference,0.31,0.17,0.7,0.77
C0036,Kolkata,21,Food Explorer,Thai,"Thai, Chinese, Pizza",413.0,25,4.12,0.28,0.0,0.12,0.88,10,No Preference,0.67,0.58,0.22,0.24
C0037,Bengaluru,41,Health Conscious,Chinese,"Chinese, Desserts, Healthy",514.0,19,4.16,0.21,0.32,0.16,0.63,12,Vegan,0.91,0.44,0.35,0.66
C0038,Mumbai,55,Food Explorer,South Indian,"South Indian, Maharashtrian, Biryani",607.0,17,3.82,0.65,0.24,0.06,0.65,11,Vegetarian,0.16,0.65,0.53,0.65
C0039,Hyderabad,49,Health Conscious,South Indian,"South Indian, Biryani, Burgers",677.0,35,3.89,0.49,0.14,0.17,0.86,15,High-Protein,0.79,0.56,0.87,0.35
C0040,Hyderabad,55,Health Conscious,Biryani,"Biryani, Pizza, Desserts",494.0,21,4.0,0.43,0.29,0.24,0.81,10,No Preference,0.82,0.25,0.4,0.17
C0041,Bengaluru,39,Convenience Seeker,Chinese,"Chinese, Pizza, Healthy",434.0,11,3.82,0.45,0.18,0.27,0.36,9,Vegetarian,0.69,0.65,0.49,0.72
C0042,Mumbai,23,Budget Explorer,Biryani,"Biryani, Cafe, Chinese",556.0,16,3.88,0.69,0.12,0.06,0.38,13,No Preference,0.4,0.49,0.9,0.56
C0043,Bengaluru,25,Food Explorer,South Indian,"South Indian, Biryani, Healthy",521.0,15,4.07,0.8,0.2,0.13,0.4,12,Low-Calorie,0.61,0.93,0.57,0.72
C0044,Bengaluru,32,Convenience Seeker,Desserts,"Desserts, Maharashtrian, Biryani",590.0,22,3.82,0.55,0.27,0.05,0.59,15,No Preference,0.52,0.84,0.2,0.8
C0045,Chennai,48,Food Explorer,Biryani,"Biryani, Burgers, South Indian",435.0,20,4.25,0.35,0.3,0.1,0.95,7,Low-Calorie,0.23,0.79,0.56,0.66
C0046,Mumbai,33,Health Conscious,Maharashtrian,"Maharashtrian, Desserts, Burgers",632.0,13,3.85,0.62,0.38,0.31,0.46,10,Vegetarian,0.94,0.36,0.45,0.8
C0047,Mumbai,31,Food Explorer,Chinese,"Chinese, South Indian, Burgers",426.0,17,4.06,0.24,0.41,0.12,0.53,12,No Preference,0.3,0.7,0.58,0.37
C0048,Hyderabad,22,Food Explorer,North Indian,"North Indian, Pizza, Desserts",601.0,8,4.0,0.5,0.5,0.12,0.75,5,Vegetarian,0.16,0.24,0.83,0.77
C0049,Ahmedabad,36,Food Explorer,Pizza,"Pizza, Cafe, Maharashtrian",391.0,12,4.17,0.83,0.33,0.25,0.0,12,Vegetarian,0.37,0.31,0.13,0.47
C0050,Ahmedabad,55,Food Explorer,Desserts,"Desserts, Italian, Cafe",418.0,15,3.93,0.8,0.33,0.13,0.27,13,Vegetarian,0.64,0.52,0.25,0.59
C0051,Pune,44,Food Explorer,Biryani,"Biryani, North Indian, Desserts",506.0,21,4.0,0.9,0.14,0.14,0.62,14,No Preference,0.37,0.37,0.54,0.49
C0052,Pune,50,Food Explorer,Biryani,"Biryani, Pizza, Italian",521.0,12,3.92,0.83,0.17,0.0,0.5,9,No Preference,0.33,0.21,0.45,0.19
C0053,Chennai,25,Food Explorer,Biryani,"Biryani, Burgers, Chinese",413.0,21,4.33,0.57,0.33,0.19,0.95,8,Vegetarian,0.49,0.2,0.89,0.83
C0054,Chennai,36,Food Explorer,Thai,"Thai, Biryani, Chinese",509.0,5,3.4,0.6,0.6,0.0,0.4,4,Low-Calorie,0.22,0.16,0.58,0.71
C0055,Hyderabad,39,Food Explorer,Biryani,"Biryani, Chinese, Burgers",572.0,12,3.67,0.75,0.42,0.0,0.67,7,Vegetarian,0.38,0.75,0.46,0.51
C0056,Pune,30,Health Conscious,Biryani,"Biryani, Cafe, Italian",461.0,25,4.04,0.8,0.32,0.16,0.84,14,No Preference,0.93,0.52,0.63,0.77
C0057,Chennai,55,Health Conscious,Biryani,"Biryani, Chinese, Burgers",444.0,32,4.16,0.25,0.22,0.09,0.97,9,Vegetarian,0.76,0.33,0.88,0.21
C0058,Pune,23,Health Conscious,North Indian,"North Indian, South Indian, Cafe",390.0,21,3.81,0.1,0.24,0.05,0.52,14,Low-Calorie,0.95,0.73,0.6,0.84
C0059,Mumbai,24,Health Conscious,Cafe,"Cafe, South Indian, Biryani",560.0,22,4.0,0.32,0.18,0.36,0.41,17,No Preference,0.77,0.24,0.52,0.57
C0060,Pune,33,Food Explorer,Biryani,"Biryani, Cafe, Pizza",407.0,11,3.91,0.64,0.27,0.18,0.0,11,Vegetarian,0.56,0.16,0.47,0.37
C0061,Ahmedabad,37,Food Explorer,Chinese,"Chinese, Italian, Burgers",388.0,11,4.09,0.27,0.36,0.09,0.18,10,No Preference,0.69,0.12,0.39,0.37
C0062,Pune,35,Convenience Seeker,North Indian,"North Indian, Biryani, Desserts",390.0,11,3.82,0.82,0.45,0.27,0.55,8,High-Protein,0.29,0.26,0.28,0.75
C0063,Delhi,24,Food Explorer,Italian,"Italian, North Indian, Chinese",423.0,5,3.8,0.6,0.4,0.4,0.0,5,Vegetarian,0.56,0.93,0.24,0.25
C0064,Bengaluru,28,Food Explorer,Italian,"Italian, Chinese, Healthy",530.0,26,4.0,0.38,0.19,0.08,0.73,15,Vegetarian,0.67,0.67,0.7,0.32
C0065,Kolkata,41,Food Explorer,Italian,"Italian, Thai, Pizza",422.0,12,4.17,0.83,0.25,0.25,0.5,8,Vegetarian,0.42,0.67,0.4,0.63
C0066,Kolkata,38,Food Explorer,Chinese,"Chinese, Italian, Thai",344.0,10,4.1,0.2,0.0,0.4,0.5,7,Jain,0.2,0.3,0.13,0.9
C0067,Pune,47,Food Explorer,Cafe,"Cafe, Biryani, Pizza",463.0,18,4.11,0.78,0.28,0.33,0.44,14,No Preference,0.34,0.69,0.59,0.85
C0068,Hyderabad,33,Food Explorer,South Indian,"South Indian, Biryani, Desserts",655.0,22,3.95,0.27,0.23,0.32,0.73,13,Vegetarian,0.18,0.28,0.86,0.77
C0069,Mumbai,21,Health Conscious,South Indian,"South Indian, Chinese, Desserts",591.0,17,4.12,0.24,0.29,0.06,0.29,14,No Preference,0.87,0.1,0.36,0.26
C0070,Delhi,26,Food Explorer,Cafe,"Cafe, Burgers, South Indian",577.0,17,3.53,0.35,0.35,0.29,0.53,12,Vegetarian,0.33,0.21,0.57,0.16
C0071,Mumbai,22,Budget Explorer,Maharashtrian,"Maharashtrian, Cafe, Burgers",712.0,15,4.07,0.87,0.33,0.13,0.4,12,Vegetarian,0.54,0.49,0.73,0.8
C0072,Mumbai,48,Food Explorer,Chinese,"Chinese, Desserts, South Indian",513.0,35,4.0,0.14,0.29,0.2,0.71,19,Vegetarian,0.64,0.57,0.15,0.36
C0073,Chennai,36,Food Explorer,Biryani,"Biryani, Chinese, Thai",449.0,25,3.92,0.68,0.28,0.16,0.92,8,Vegan,0.48,0.29,0.68,0.31
C0074,Hyderabad,43,Convenience Seeker,Chinese,"Chinese, Burgers, Biryani",605.0,20,3.95,0.1,0.3,0.15,0.85,10,No Preference,0.18,0.18,0.15,0.77
C0075,Delhi,53,Convenience Seeker,Italian,"Italian, Chinese, Maharashtrian",583.0,14,4.0,0.93,0.07,0.14,0.5,10,No Preference,0.14,0.34,0.44,0.84
C0076,Mumbai,54,Food Explorer,Maharashtrian,"Maharashtrian, Desserts, Cafe",573.0,19,3.58,0.74,0.37,0.16,0.53,14,No Preference,0.46,0.58,0.32,0.32
C0077,Kolkata,19,Food Explorer,Maharashtrian,"Maharashtrian, Chinese, Italian",374.0,11,4.18,0.55,0.0,0.18,0.55,7,No Preference,0.58,0.44,0.1,0.8
C0078,Mumbai,23,Food Explorer,Maharashtrian,"Maharashtrian, South Indian, Chinese",441.0,17,4.24,0.41,0.35,0.12,0.35,14,No Preference,0.23,0.74,0.58,0.81
C0079,Mumbai,35,Food Explorer,Maharashtrian,"Maharashtrian, Healthy, Chinese",589.0,16,3.56,0.62,0.19,0.19,0.5,12,No Preference,0.6,0.55,0.19,0.66
C0080,Bengaluru,43,Food Explorer,Biryani,"Biryani, South Indian, Maharashtrian",576.0,20,4.0,0.4,0.25,0.2,0.4,16,Low-Calorie,0.21,0.55,0.5,0.47
C0081,Kolkata,40,Budget Explorer,Italian,"Italian, Maharashtrian, Pizza",366.0,10,4.2,0.7,0.4,0.2,0.4,8,No Preference,0.46,0.2,0.56,0.68
C0082,Pune,28,Food Explorer,Cafe,"Cafe, North Indian, Maharashtrian",333.0,10,4.1,0.4,0.3,0.2,0.2,9,No Preference,0.39,0.38,0.42,0.38
C0083,Chennai,25,Food Explorer,Burgers,"Burgers, Chinese, Biryani",459.0,17,3.88,0.29,0.18,0.18,0.71,8,Vegetarian,0.66,0.25,0.58,0.72
C0084,Chennai,47,Food Explorer,Chinese,"Chinese, Biryani, South Indian",413.0,11,3.91,1.0,0.27,0.18,0.73,6,High-Protein,0.47,0.5,0.88,0.39
C0085,Bengaluru,55,Budget Explorer,South Indian,"South Indian, Maharashtrian, Cafe",406.0,8,4.0,0.88,0.12,0.12,0.0,8,Vegetarian,0.62,0.53,0.79,0.79
C0086,Kolkata,20,Food Explorer,Pizza,"Pizza, Italian, Maharashtrian",381.0,17,3.82,0.24,0.24,0.18,0.94,8,No Preference,0.39,0.71,0.18,0.82
C0087,Delhi,20,Food Explorer,Italian,"Italian, Cafe, Pizza",357.0,17,4.24,0.71,0.24,0.24,0.47,12,Vegetarian,0.14,0.64,0.72,0.66
C0088,Pune,24,Health Conscious,Pizza,"Pizza, Biryani, Thai",445.0,18,4.11,0.11,0.33,0.17,0.61,12,Vegetarian,0.92,0.69,0.21,0.41
C0089,Mumbai,37,Health Conscious,Chinese,"Chinese, Desserts, South Indian",404.0,12,4.42,0.92,0.25,0.17,0.33,10,Vegetarian,0.91,0.39,0.11,0.38
C0090,Delhi,32,Food Explorer,Chinese,"Chinese, Pizza, Cafe",498.0,12,4.17,0.92,0.17,0.0,0.75,7,Vegetarian,0.21,0.42,0.37,0.72
C0091,Delhi,46,Health Conscious,Italian,"Italian, South Indian, Desserts",497.0,7,3.71,0.71,0.14,0.43,0.29,6,Low-Calorie,0.79,0.5,0.53,0.38
C0092,Pune,54,Food Explorer,Biryani,"Biryani, Pizza, North Indian",556.0,10,4.2,0.8,0.1,0.1,0.2,9,Vegetarian,0.65,0.84,0.21,0.34
C0093,Mumbai,51,Food Explorer,Healthy,"Healthy, South Indian, Maharashtrian",625.0,16,4.06,0.56,0.44,0.25,0.5,12,No Preference,0.4,0.12,0.28,0.49
C0094,Chennai,41,Food Explorer,Biryani,"Biryani, Thai, Chinese",504.0,8,4.25,0.75,0.5,0.25,0.75,5,No Preference,0.34,0.81,0.73,0.25
C0095,Delhi,48,Food Explorer,Chinese,"Chinese, Cafe, Healthy",439.0,14,4.21,0.64,0.36,0.07,0.43,11,No Preference,0.36,0.14,0.19,0.37
C0096,Hyderabad,22,Food Explorer,Desserts,"Desserts, Biryani, Pizza",424.0,7,4.29,0.86,0.14,0.0,0.29,6,Vegetarian,0.59,0.26,0.1,0.41
C0097,Chennai,41,Food Explorer,Biryani,"Biryani, South Indian, Thai",389.0,10,3.8,0.4,0.3,0.0,0.6,6,Vegan,0.32,0.11,0.61,0.89
C0098,Pune,33,Food Explorer,Cafe,"Cafe, Biryani, North Indian",374.0,27,4.07,0.89,0.26,0.15,0.7,15,No Preference,0.69,0.64,0.72,0.5
C0099,Mumbai,47,Health Conscious,Maharashtrian,"Maharashtrian, Chinese, Biryani",494.0,15,3.73,0.47,0.47,0.2,0.27,13,High-Protein,0.74,0.26,0.53,0.34
C0100,Mumbai,39,Health Conscious,Maharashtrian,"Maharashtrian, Chinese, Cafe",630.0,10,4.0,0.5,0.1,0.3,0.2,9,High-Protein,0.89,0.54,0.5,0.52
C0101,Hyderabad,23,Budget Explorer,South Indian,"South Indian, Biryani, Maharashtrian",660.0,11,3.91,0.91,0.27,0.0,0.55,8,No Preference,0.69,0.4,0.58,0.47
C0102,Pune,45,Food Explorer,North Indian,"North Indian, Cafe, Biryani",378.0,8,4.25,1.0,0.25,0.25,0.5,6,Vegetarian,0.62,0.76,0.86,0.26
C0103,Mumbai,33,Food Explorer,Maharashtrian,"Maharashtrian, Chinese, Healthy",571.0,26,4.08,0.38,0.23,0.08,0.38,20,Vegetarian,0.44,0.65,0.56,0.55
C0104,Mumbai,19,Food Explorer,Chinese,"Chinese, South Indian, Maharashtrian",552.0,18,4.22,0.28,0.22,0.28,0.33,15,No Preference,0.27,0.22,0.66,0.9
C0105,Delhi,46,Food Explorer,Burgers,"Burgers, Healthy, Chinese",518.0,13,3.85,0.46,0.23,0.31,0.31,11,No Preference,0.7,0.25,0.23,0.68
C0106,Bengaluru,25,Convenience Seeker,Biryani,"Biryani, South Indian, Desserts",531.0,16,3.88,0.56,0.25,0.06,0.25,14,No Preference,0.16,0.44,0.2,0.81
C0107,Chennai,51,Convenience Seeker,Chinese,"Chinese, Biryani, South Indian",456.0,18,4.11,0.61,0.17,0.17,0.89,8,No Preference,0.76,0.64,0.38,0.81
C0108,Delhi,45,Convenience Seeker,North Indian,"North Indian, Italian, Healthy",372.0,25,4.16,0.56,0.16,0.12,0.8,13,Vegetarian,0.86,0.82,0.38,0.86
C0109,Kolkata,35,Food Explorer,Pizza,"Pizza, Chinese, Italian",375.0,21,3.95,0.62,0.33,0.29,0.86,10,No Preference,0.39,0.89,0.6,0.83
C0110,Mumbai,23,Health Conscious,Maharashtrian,"Maharashtrian, Chinese, Cafe",592.0,18,4.22,0.61,0.28,0.06,0.11,17,Vegetarian,0.91,0.51,0.6,0.37
C0111,Pune,37,Health Conscious,North Indian,"North Indian, Burgers, Biryani",366.0,14,3.71,0.21,0.29,0.29,0.43,10,No Preference,0.94,0.39,0.79,0.39
C0112,Pune,50,Food Explorer,Biryani,"Biryani, Cafe, Thai",504.0,17,3.94,0.18,0.29,0.18,0.65,10,No Preference,0.31,0.84,0.41,0.61
C0113,Pune,54,Health Conscious,Biryani,"Biryani, Pizza, South Indian",418.0,16,3.88,0.44,0.31,0.19,0.62,11,Low-Calorie,0.92,0.28,0.86,0.53
C0114,Mumbai,36,Food Explorer,Desserts,"Desserts, Cafe, Chinese",514.0,19,4.0,0.32,0.21,0.05,0.58,12,Vegetarian,0.44,0.14,0.31,0.42
C0115,Kolkata,30,Convenience Seeker,Chinese,"Chinese, Italian, Pizza",308.0,15,4.2,0.93,0.27,0.0,0.8,6,Vegetarian,0.43,0.78,0.2,0.88
C0116,Pune,27,Food Explorer,Cafe,"Cafe, Burgers, Pizza",400.0,13,4.0,0.46,0.08,0.0,0.38,10,No Preference,0.54,0.38,0.47,0.6
C0117,Delhi,43,Food Explorer,Cafe,"Cafe, Desserts, Italian",424.0,5,4.4,0.8,0.4,0.2,0.4,4,No Preference,0.67,0.93,0.75,0.43
C0118,Mumbai,48,Food Explorer,Maharashtrian,"Maharashtrian, Chinese, Healthy",551.0,18,3.72,0.33,0.17,0.11,0.28,15,No Preference,0.23,0.68,0.6,0.78
C0119,Mumbai,30,Budget Explorer,Maharashtrian,"Maharashtrian, Biryani, Desserts",493.0,10,4.4,0.9,0.2,0.2,0.4,8,No Preference,0.15,0.22,0.8,0.7
C0120,Pune,48,Budget Explorer,Biryani,"Biryani, North Indian, Cafe",412.0,20,3.8,0.75,0.35,0.2,0.7,13,High-Protein,0.32,0.51,0.64,0.75
C0121,Bengaluru,53,Food Explorer,Biryani,"Biryani, Chinese, South Indian",516.0,13,3.69,0.54,0.31,0.15,0.15,12,Vegetarian,0.2,0.68,0.74,0.36
C0122,Pune,40,Food Explorer,Pizza,"Pizza, Cafe, Thai",487.0,14,3.93,0.57,0.14,0.14,0.57,10,No Preference,0.58,0.33,0.76,0.35
C0123,Ahmedabad,33,Health Conscious,Cafe,"Cafe, Thai, Pizza",434.0,7,4.29,0.14,0.29,0.0,0.0,7,Vegetarian,0.92,0.93,0.64,0.25
C0124,Chennai,48,Convenience Seeker,Biryani,"Biryani, Burgers, Chinese",513.0,18,3.72,0.11,0.28,0.06,0.94,6,No Preference,0.9,0.88,0.53,0.69
C0125,Delhi,20,Food Explorer,Chinese,"Chinese, Pizza, Italian",396.0,17,3.88,0.65,0.29,0.06,0.53,12,High-Protein,0.65,0.55,0.37,0.49
C0126,Delhi,50,Food Explorer,Cafe,"Cafe, Chinese, Burgers",561.0,7,4.0,0.71,0.14,0.14,0.0,7,No Preference,0.67,0.26,0.37,0.37
C0127,Pune,45,Food Explorer,North Indian,"North Indian, Pizza, Desserts",607.0,5,4.4,1.0,0.4,0.0,0.4,4,No Preference,0.33,0.38,0.41,0.49
C0128,Ahmedabad,18,Food Explorer,Biryani,"Biryani, Healthy, South Indian",563.0,8,4.25,0.25,0.5,0.12,0.0,8,No Preference,0.75,0.69,0.84,0.82
C0129,Bengaluru,41,Budget Explorer,North Indian,"North Indian, Cafe, South Indian",523.0,8,4.12,0.75,0.25,0.12,0.0,8,No Preference,0.8,0.75,0.71,0.75
C0130,Mumbai,51,Food Explorer,Chinese,"Chinese, Healthy, Maharashtrian",579.0,20,3.45,0.75,0.3,0.1,0.4,16,High-Protein,0.38,0.54,0.56,0.26
C0131,Delhi,55,Food Explorer,Italian,"Italian, Chinese, Cafe",498.0,15,3.93,0.4,0.2,0.13,0.47,11,Jain,0.36,0.12,0.55,0.65
C0132,Mumbai,31,Food Explorer,Chinese,"Chinese, Desserts, Healthy",591.0,17,3.76,0.88,0.29,0.06,0.53,12,Vegetarian,0.45,0.75,0.85,0.17
C0133,Hyderabad,41,Food Explorer,Thai,"Thai, North Indian, Desserts",710.0,13,3.92,0.85,0.23,0.15,0.69,7,No Preference,0.21,0.93,0.89,0.44
C0134,Mumbai,37,Food Explorer,Chinese,"Chinese, Healthy, South Indian",527.0,20,4.4,0.3,0.35,0.0,0.55,14,Vegetarian,0.2,0.79,0.85,0.69
C0135,Mumbai,33,Health Conscious,Desserts,"Desserts, Cafe, South Indian",537.0,9,4.0,0.22,0.33,0.11,0.22,8,No Preference,0.76,0.22,0.53,0.72
C0136,Bengaluru,54,Food Explorer,Desserts,"Desserts, South Indian, Maharashtrian",545.0,22,3.82,0.55,0.27,0.09,0.59,14,No Preference,0.6,0.72,0.32,0.57
C0137,Hyderabad,53,Food Explorer,South Indian,"South Indian, Desserts, Burgers",619.0,23,4.13,0.35,0.3,0.17,0.83,11,Vegetarian,0.5,0.82,0.4,0.72
C0138,Delhi,47,Food Explorer,Chinese,"Chinese, Burgers, South Indian",482.0,12,4.0,0.33,0.17,0.08,0.58,8,Vegetarian,0.18,0.72,0.84,0.79
C0139,Bengaluru,42,Health Conscious,Maharashtrian,"Maharashtrian, Biryani, Desserts",588.0,8,3.88,0.75,0.25,0.12,0.25,7,Jain,0.91,0.11,0.8,0.4
C0140,Mumbai,48,Food Explorer,Cafe,"Cafe, Chinese, South Indian",571.0,18,4.17,0.89,0.33,0.0,0.33,15,No Preference,0.32,0.54,0.53,0.42
C0141,Mumbai,48,Food Explorer,Chinese,"Chinese, South Indian, Biryani",376.0,10,4.3,0.7,0.2,0.3,0.2,9,No Preference,0.71,0.35,0.54,0.59
C0142,Bengaluru,42,Food Explorer,Maharashtrian,"Maharashtrian, Biryani, Pizza",621.0,9,3.89,0.67,0.11,0.0,0.22,8,Vegetarian,0.24,0.78,0.61,0.52
C0143,Kolkata,49,Food Explorer,Italian,"Italian, Desserts, Healthy",419.0,24,3.96,0.92,0.38,0.25,0.88,10,Low-Calorie,0.45,0.82,0.63,0.72
C0144,Delhi,18,Food Explorer,Chinese,"Chinese, North Indian, Burgers",487.0,11,4.09,0.64,0.18,0.27,0.36,9,Vegetarian,0.11,0.71,0.53,0.46
C0145,Bengaluru,19,Health Conscious,Desserts,"Desserts, Pizza, Healthy",608.0,21,4.1,0.19,0.29,0.24,0.57,14,Jain,0.79,0.33,0.25,0.54
C0146,Pune,43,Food Explorer,Biryani,"Biryani, Cafe, Pizza",627.0,11,3.73,0.91,0.36,0.09,0.36,9,No Preference,0.57,0.15,0.17,0.43
C0147,Delhi,23,Food Explorer,Cafe,"Cafe, Desserts, South Indian",425.0,14,4.07,0.93,0.43,0.21,0.64,9,Vegetarian,0.58,0.33,0.82,0.67
C0148,Bengaluru,52,Food Explorer,Maharashtrian,"Maharashtrian, Desserts, Biryani",580.0,24,3.83,0.58,0.21,0.17,0.75,14,No Preference,0.24,0.3,0.42,0.21
C0149,Pune,52,Food Explorer,Cafe,"Cafe, Italian, Thai",298.0,14,3.93,1.0,0.36,0.14,0.43,11,Vegan,0.39,0.75,0.45,0.78
C0150,Pune,38,Food Explorer,Biryani,"Biryani, Italian, Cafe",380.0,13,4.31,0.46,0.31,0.38,0.54,8,No Preference,0.63,0.78,0.63,0.21
C0151,Mumbai,35,Convenience Seeker,Desserts,"Desserts, South Indian, Healthy",629.0,15,4.33,0.33,0.27,0.0,0.4,12,Vegetarian,0.19,0.17,0.46,0.72
